,title,author,content,price,grade,genre
0,공생충,"
무라카미 류 저/장정일 해설/양억관 역
        ","



현대 사회는 더 이상 희망을 필요로 하지 않는다!수년간 지속되는 높은 청년실업률 뒤엔 열악한 근무조건의 비정규직 일거리라도 찾아 헤매는 젊은이들의 시든 청춘과, 차라리 방구석에 처박혀버린 고립된 영혼들의 그림자가 길게 드리워져 있다. 희망을 상실한 젊은이들은 그들에게 허락된 시간을 어떻게 사용할까? 그들에게는 세상과 맞설 용기도 없고, 그렇다고 죽음을 선택할 과감한 결단 혹은 무모한 신념도 없다. 세상에서 상처 입었거나 상처받기가 두려워 홀로 구덩이를 파고 들어가 웅크린 채 지내는 이들에게 ‘인터넷’ 세상은 과연 구원이 될 수 있을까? 시대의 변화를 민감하게 포착해 그 속에서 특히 젊은이들이 어떻게 반응하고 방황하는지 예리한 감각으로 짚어내는 무라카미 류는 이미 10여 년 전부터 ‘히키고모리’라 불리는 은둔형 외토리와, 인터넷 세상에서 만들어지는 ‘새로운 공동체’(커뮤니티)에 시선을 돌렸다. 일본 사회뿐 아니라, 우리 사회 현재의 모습이 이 책에 고스란히 반영되어 있다.                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","12,420",8.0,추리/미스터리
1,동궁왕후 上,"
방은선 저
        ","



용의 귀한 목숨을 담고 있는 역린.동궁왕의 귀한 안곁이 되어야 할 그녀는 인간이었다.그는 정적이었고, 순간이었고, 찰나였다.잡으려는 순간 눈앞에서 사라져 버리는 빛처럼…….그녀는 오늘도 신기루에 홀린 사막 여행자처럼 그를 좇는다.“나중에 다시 만날 수 있을까요? 오랜 시간이 지난 뒤에라도. 어딘가 이 하늘 아래 당신이 있다는 걸 내게 알려주러 와주지 않을래요?”진정으로 바라는 것은…… 넘어가는 저 황혼 속으로오로지 그대와 함께 가는 것.                     


","8,550",9.4,로맨스
2,귀공자의 작업 방식,"
서혜은 저
        ","



〈강추!〉아시아의 귀공자! 유준석!아이돌 바라보듯 바라만 보던 그를 어느새 짝사랑하게 된 아연은,거절을 당하더라도 좋은 추억으로 남을 수 있을 거라 생각해멋진 고백을 준비하는데…….“생각나서 샀어요. 안 입을 거라는 걸 알지만 그래도 잘 어울릴 것 같아서요.”침착한 목소리와 다르게 종이가방을 내미는 아연의 손이 가늘게 떨렸다.바스락거리는 소리가 들렸다. 준석이 종이가방에서 상자를 꺼내는 듯했다.“제가…….”“이게 나랑 잘 어울릴 것 같단 말이지?”준석의 목소리가 오묘했다.순간 눈을 떠 바라본 하얗고 긴 준석의 손가락 끝에는붉은 무언가가 흉물스럽게 걸려 있었다.저게 왜 저기 있어!하지만 고백은 악몽만을 남겼다!덩그러니 선물만 남기고 사라진 주아연이 궁금한 그, 유준석과유준석을 피하고만 싶은 그녀, 주아연의 신데렐라 찾기!                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","8,100",7.6,로맨스
3,앨런 웨이크,"
김지현 역
        ","



소설 속에 갇혀 버린 소설가, 그는 이 악몽 같은 원고를 끝맺을 수 있을까?몇 년째 슬럼프에 빠져 글 한 줄 쓰지 못하던 스릴러 작가 앨런 웨이크. 그가 휴가차 들른 마을에서 기이한 실종 사건이 연달아 일어난다. 갑작스런 사고로 기억을 잃은 동안, 아내와 마을 사람들이 흔적도 없이 사라진 것이다. 그러던 중, 그는 자기 자신이 등장하는 어느 원고의 한 페이지를 발견하고 그 내용이 현실에서도 재현되고 있음을 알게 되는데…현실과 악몽을 오가는 광기의 심리 스릴러. 어둠보다 더 깊은 미스터리가 시작된다                    


","12,420",7.7,추리/미스터리
4,블리자드 아트북,"
블리자드 엔터테인먼트 저
        ","



이 책에는 무려 700점에 이르는 콘셉트 아트와 그림, 그리고 닉 카펜터와 샘와이즈 디디어, 크리스 멧젠을 포함한 블리자드 게임 개발팀의 설명이 덧붙여진 스케치들이 실려 있다. 이들 셋 모두는 수년에 걸쳐 여러 나라 출신의 아티스트들과 팀을 이뤄 블리자드 게임 세계를 창조하고, 혁신적인 게임플레이와 이야기 구조를 만든 핵심적인 인물들이다. 로만 케니와 피터 리, 빌 페트라스, 글렌 레인, 그리고 웨이 왕 등의 아티스트들은 블리자드 고유의 시각을 만들고 확장하는 것을 도왔으며, 이들의 작품 역시 서문을 제공한 브롬의 작품과 함께 책에 담겼다. 블리자드 아트북은 무엇이 그토록 그 경험을 황홀하게 만드는지 밝힐 기회를 제공할 것이다.                    


","62,700",9.0,판타지
5,10만 분의 1의 우연,"
마쓰모토 세이초 저
        ","



양자택일을 해야 할 경우 보도와 인명 중에 당신은 어느 쪽을 우선하겠는가?한밤중의 고속도로에서 일어난 6중 추돌사고. 알 수 없는 이유로 트럭이 전복되고 뒤따르던 차량들이 연달아 추돌하며, 6명의 사람들이 한 순간에 목숨을 잃는다. 마침 근방에서 야경을 찍으려 했던 아마추어 사진가 야마가는 이 현장을 카메라에 담게 되고 그 사진은 ‘10만 분의 1의 우연’이 만들어 낸 사진이라며 격찬을 받는다. 하지만 그 사고를 통해 약혼녀를 잃은 누마이 쇼헤이는 사고와 야마가의 사진 사이에 필연적인 인과가 있음을 깨닫는다. 그리고 자신의 정체를 숨긴 채 야마가에게 접근하는데…….인생에 두 번 다시 없을 것 같은 엄청난 장면이 눈앞에 펼쳐졌을 때 카메라를 가지고 있다면 누구나 셔터를 누르지 않을 수 없을 것이다. 하지만 그 장면이 사람이 죽어 가는 현장이라면? 사진을 먼저 찍어야 할까, 사람을 먼저 살려야 할까? 답은 정해져 있는 것처럼 보이지만 실제로 그런 상황과 맞닥뜨린다면, 우리는 고민 없이 사람의 목숨부터 구할 수 있을까?                     




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","10,800",8.3,추리/미스터리
6,기황후 2,"
장영철, 정경순공저
        ","



하지원 주연 MBC 화제작 [기황후] 소설 출간장영철, 정경순 작가가 직접 쓴 단 하나의 드라마 원작 소설MBC의 하반기 최대 기대작, 드라마 [기황후]의 원작 소설이다. 기황후는 칭기즈칸이 이룩한 거대 왕국 대원제국의 37년 역사에 큰 영향력을 발휘하는 매력적이고 현명한 고려 출신 황후다. 낯선 이국의 황실에서 고려의 자긍심을 지키며 정치적 이상을 실현해 나간 여인이기도 하다. 소설 [기황후]는 드라마의 극본을 맡은 장영철, 정경순 작가가 직접 집필한 작품으로 드라마 [기황후]의 원작으로 더욱 차별성을 갖는다. 장영철, 정경순 작가는 [대조영], [자이언트], [샐러리맨 초한지], [돈의 화신]에서 선 굵은 필력으로 탄탄한 마니아층을 보유한 작가진이다. 이번 집필을 위해 두 작가는 오랜 기간 치밀한 자료 조사와 고증을 거쳐 소설 [기황후]를 탄생시켰다. 소설 [기황후]는 절망 속에서도 늘 희망의 끈을 놓지 않은 기황후의 이야기를 고스란히 담고 있다. 공녀에서 황후가 된 그녀의 이야기에는 고려의 아픈 역사가 있고 민초들의 슬픈 사연들이 있다. 여기에 기황후를 사이에 둔 고려의 국왕(충혜왕)과 원나라 황제(순제)의 사랑이 때로는 가슴 떨리게, 때로는 서슬 퍼렇게 흐른다. 또한 권력을 둘러싼 음모와 배신, 시기와 질투뿐 아니라 한 여자의 눈물과 분노, 좌절, 희열과 승리의 서사시가 펼쳐진다. 가혹한 운명을 이겨 내며 공녀에서 여걸로, 여걸에서 영웅으로 등극해 가는 기황후의 모습은 이 시대를 살아가는 우리들에게 불굴의 인간 정신을 선사할 것이다.                     




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","11,700",8.5,역사
7,기황후 1,"
장영철, 정경순공저
        ","



하지원 주연 MBC 화제작 [기황후] 소설 출간장영철, 정경순 작가가 직접 쓴 단 하나의 드라마 원작 소설MBC의 하반기 최대 기대작, 드라마 [기황후]의 원작 소설이다. 기황후는 칭기즈칸이 이룩한 거대 왕국 대원제국의 37년 역사에 큰 영향력을 발휘하는 매력적이고 현명한 고려 출신 황후다. 낯선 이국의 황실에서 고려의 자긍심을 지키며 정치적 이상을 실현해 나간 여인이기도 하다. 소설 [기황후]는 드라마의 극본을 맡은 장영철, 정경순 작가가 직접 집필한 작품으로 드라마 [기황후]의 원작으로 더욱 차별성을 갖는다. 장영철, 정경순 작가는 [대조영], [자이언트], [샐러리맨 초한지], [돈의 화신]에서 선 굵은 필력으로 탄탄한 마니아층을 보유한 작가진이다. 이번 집필을 위해 두 작가는 오랜 기간 치밀한 자료 조사와 고증을 거쳐 소설 [기황후]를 탄생시켰다. 소설 [기황후]는 절망 속에서도 늘 희망의 끈을 놓지 않은 기황후의 이야기를 고스란히 담고 있다. 공녀에서 황후가 된 그녀의 이야기에는 고려의 아픈 역사가 있고 민초들의 슬픈 사연들이 있다. 여기에 기황후를 사이에 둔 고려의 국왕(충혜왕)과 원나라 황제(순제)의 사랑이 때로는 가슴 떨리게, 때로는 서슬 퍼렇게 흐른다. 또한 권력을 둘러싼 음모와 배신, 시기와 질투뿐 아니라 한 여자의 눈물과 분노, 좌절, 희열과 승리의 서사시가 펼쳐진다. 가혹한 운명을 이겨 내며 공녀에서 여걸로, 여걸에서 영웅으로 등극해 가는 기황후의 모습은 이 시대를 살아가는 우리들에게 불굴의 인간 정신을 선사할 것이다.                     




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","11,700",8.4,역사
8,로맨틱 스릴러,"
반지혜 저
        ","



“너한테 확신이 없어. 아니라는 확신도, 맞는다는 확신도.”4년째 지지고 볶는 중이었고, 지지고 볶기만 하면 좋으련만 이젠 잔인하게도 가슴을 콕콕 찌르는 재수 없는 말들을 쉴 새 없이 뱉어대는 그, 나의 4년 된 남. 자. 친. 구.남자에게 결혼이란…… 자유로운 섹스와 구속을 맞바꾼 거래?“너랑 결혼하고 싶은 이유. 음…….”“지금 감정 솔직히.”“매일 할 수 있으니까. 아무 때나 할 수 있으니까. 피임 안하고 할 수 있으니까.” “그……게 다야?”“아, 하나 더 있다. 평생 할 수 있으니까.”이게 뭘까. 이 남자는 지금 뭘 얘기하고 싶은 걸까.난 뭘 기대한 걸까.“진짜로 얘기해. 진짜로. 그런 얘기 말고.”                    


","10,800",8.0,로맨스
9,레드벨벳 컵케이크 살인사건,"
조앤 플루크 저
        ","



어둡고 음산한 추리가 아닌 쿠키 냄새 가득하고 고소한 조앤 플루크의 《레드벨벳 컵케이크 살인사건》을 권합니다!!한나의 레드벨벳 컵케이크가 선보이는 앨비온 호텔의 리오프닝 파티는  마을을 떠났던 베브 박사의 도착과 함께 시작된다. 베브 박사의 갑작스러운 등장에 신경이 예민해진 한나. 저 여자는 대체 왜 다시 나타난 거야! 하지만 술렁임도 잠시, 호텔의 옥상정원에서 떨어진 파티 참석자로 인해 파티는 중단된다. 노먼을 다시 차지할 거라고 선전포고를 하는  베브 박사에 대한 인내심이 한계에 다다른 그때, 한나는 밀러의 연못에서 라이벌의 시체를 발견한다. 놀랍게도 베브 박사를 구하려 한 한나가 살인 용의자로 지목된다. 연인인 마이크조차 한나를 심문하는데, 살인범을 찾아내는 데만 익숙한 한나는 과연  자신의 억울한 누명을 벗을 수 있을 것인가…….《한나 스웬슨 시리즈》에는 명석한 탐정이나 냉철한 형사는 없다. 화려한 할리우드나 음침한 뒷골목도 나오지 않는다. 집을 나서면 어디서나 아는 얼굴을 만날 수 있는 작은 마을에서 벌어지는 살인사건을 호기심으로, 또는 어쩔 수 없이 해결하는 소시민이 있을 뿐이다. 한나의 추리는 추리소설 특유의 논리적이거나 천재적인 트릭 깨기보다는 사람들 간의 소문이나 갈등 관계 속에서 사건의 실마리를 찾곤 한다. 추리만을 위한 추리소설이 아니라 인간미 넘치는 사람들의 이야기를 엮어 마치 독자가 미네소타 레이크 에덴의 구성원이 되어 아침에는 한나의 쿠키를 맛보고, 한나의 가족들과 안부를 묻는 사이라는 착각을 하게 된다. 한나의 로맨스도 빼놓을 수 없는 묘미 중 하나이다. 한나를 두고 벌이는 매력적이고 카리스마 넘치는 경찰관 마이크 킹스턴과 다정하고 유머러스한 치과의사인 노먼 로드와의 신경전도 또 다른 볼거리를 선사한다. 독자들은 과연 그녀가 누구와 로맨스를 이룰지 궁금할 것이다.                     


","12,600",10.0,공포/스릴러
